Debug log for att_1 (Episode 1)
================================================================================
[Step 1] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=+0.085 | Cum=+0.085 | Info={'shot_attempted': False, 'pass_attempted': True, 'pass_quality': 1.0, 'pass_power': 21.0, 'pass_direction': [-0.001227615918550251, 0.2240636461000476], 'invalid_pass_direction': True, 'start_pass_bonus': True, 'pass_to': 'att_2', 'pass_direction_raw': [-0.707106074080521, -0.707106074080521], 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'possession_lost': False}
[Step 64] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.481 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 65] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.491 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 66] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.501 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 67] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.511 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 68] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.521 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 69] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.531 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 70] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.541 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

