Debug log for att_1 (Episode 2700)
================================================================================
[Step 60] Action=[ 1. -1.  1.  0.  1.  1.  1.] | Reward=+0.005 | Cum=-1.624 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 61] Action=[ 1. -1.  1.  0.  1.  1.  1.] | Reward=+0.006 | Cum=-1.618 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 62] Action=[ 1. -1.  1.  0.  1.  1.  1.] | Reward=+0.007 | Cum=-1.611 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 63] Action=[ 1. -1.  1.  0.  1.  1.  1.] | Reward=+0.010 | Cum=-1.601 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 64] Action=[ 1. -1.  1.  0.  1.  1.  1.] | Reward=+0.013 | Cum=-1.588 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 65] Action=[ 1. -1.  1.  0.  1.  1.  1.] | Reward=+0.017 | Cum=-1.571 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

